id;placename;groupmode;y_lat;x_long;personcount;place_category
358;Wuchow;P;23.483333;111.316667;23;Point
359;Wuhu;P;32.661111;117.266667;54;Point
360;Wusueh, Hubei Province;P;29.850578;115.552504;1;Point
361;Xuanday, Annam;P;13.366667;109.3;1;Point
362;Yachou;P;29.985206;102.999004;3;Point
363;Yamaguchi;P;34.1667;131.4667;1;Point
364;Yangchow;P;32.397222;119.435833;8;Point
365;Yangtsze River;P;31.786667;121.141389;9;Polygon
366;Yenbai;P;21.7167;104.9;6;Point
367;Yensan, Chihli;P;38.055278;117.219444;1;Point
368;Yeungkong;P;21.855635;111.962724;1;Point
369;Ylagan;P;17.148;121.889;1;Point
370;Yokohoma;P;35.4667;139.6333;777;Point
371;Yuensan;P;39.152778;127.443611;1;Point
372;Yunnan;P;25;101.5;26;Polygon
373;Yunnanfu;P;25.038889;102.718333;10;Point
374;Amoy;G;24.479794;118.081869;168;Point
375;Anking;G;30.513646;117.047234;4;Point
376;Anshun;G;26.25;105.933333;1;Point
377;Bangkok;G;13.753;100.501;385;Point
378;Bindinh;G;14.166667;109;14;Polygon
379;China;G;35;105;42;Polygon
380;Datong;G;40.093611;113.291389;1;Point
381;Fokien;G;26.25;118;3;Polygon
382;Formosa;G;24;121;12;Polygon
383;Hatinh;G;18.35;105.9167;4;Point
384;Hunan;G;27.666667;111.75;8;Polygon
385;Hupeh;G;31;112.25;24;Polygon
386;Iloilo;G;10.7;122.5667;150;Point
387;Johor Baharu;G;1.4833;103.7333;1;Point
388;Kampot;G;10.6167;104.1833;3;Point
389;Kansuh;G;37.75;102.75;15;Polygon
390;Kia-ting-fu;G;29.562275;103.76386;1;Point
391;Kiangsi;G;27.666667;115.666667;20;Polygon
392;Kiukiang;G;29.733333;115.983333;78;Point
393;Kratie;G;12.66667;106.08333;2;Polygon
394;Kuching;G;1.5333;110.3333;3;Point
395;Kwangtung;G;23.5;113.25;32;Polygon
396;Kweichow;G;27;107;11;Polygon
397;Lanchow;G;36.057006;103.839868;2;Point
398;Langson;G;21.852639;106.76101;11;Point
399;Long Xuyen;G;10.3833;105.4167;4;Point
400;Mengtsz;G;23.3333;103.35;9;Point
401;Nhatrang;G;12.248089;109.19436;7;Point
402;Pao-ning-fu;G;31.55037;105.99381;4;Point
403;Penang;G;5.35;100.233333;1;Point
404;Perak;G;5;101;212;Polygon
405;Phnompenh;G;11.5833;104.9167;28;Point
406;Pursat;G;12.5333;103.9167;2;Point
407;Rachgia;G;10.012;105.13;2;Point
408;Saigon;G;10.7333;106.65;7;Point
409;Shanghai;G;31.222222;121.458056;1725;Point
410;Siberia;G;50;133;23;Polygon
411;Tamsui;G;25.171958;121.442896;18;Point
412;Tokushima;G;34.05;134.5667;1;Point
413;Tokyo;G;35.75;139.5;256;Point
414;Tsinan;G;36.683333;117.05;1;Point
415;Tsincheo;G;36.057006;103.839868;2;Point
416;Tungkun;G;23.048889;113.744722;2;Point
417;Weihaiwei;G;37.509136;122.113557;19;Point
